Cause of Death,Sex,Year,Deaths
Mental Health,Female,2016,2197
External Sources,Female,2016,262
Other,Female,2016,2148
Diseases,Female,2017,50583
Neoplasms,Female,2017,20252
Mental Health,Female,2017,2265
External Sources,Female,2017,306
Other,Female,2017,2251
Diseases,Female,2018,48133
Neoplasms,Female,2018,20939
Mental Health,Female,2018,2146
External Sources,Female,2018,287
Other,Female,2018,2068
Diseases,Female,2019,51158
Neoplasms,Female,2019,21790
Mental Health,Female,2019,2240
External Sources,Female,2019,315
Other,Female,2019,2338
Diseases,Female,2020,47026
Neoplasms,Female,2020,21445
Mental Health,Female,2020,2314
External Sources,Female,2020,293
Other,Female,2020,2353
Diseases,Female,2021,50731
Neoplasms,Female,2021,22258
Mental Health,Female,2021,2450
External Sources,Female,2021,328
Other,Female,2021,2573
Diseases,Female,2022,54177
Neoplasms,Female,2022,22754
Mental Health,Female,2022,2803
External Sources,Female,2022,314
Other,Female,2022,2789
Diseases,Male,2000,38432
Neoplasms,Male,2000,20665
Mental Health,Male,2000,1351
External Sources,Male,2000,5586
Other,Male,2000,1024
Diseases,Male,2001,38312
Neoplasms,Male,2001,21052
Mental Health,Male,2001,1074
External Sources,Male,2001,5386
Other,Male,2001,991
Diseases,Male,2002,39716
Neoplasms,Male,2002,21440
Mental Health,Male,2002,1243
External Sources,Male,2002,5256
Other,Male,2002,1023
Diseases,Male,2003,38988
Neoplasms,Male,2003,21396
Mental Health,Male,2003,1231
External Sources,Male,2003,5178
Other,Male,2003,1147
Diseases,Male,2004,38726
Neoplasms,Male,2004,21851
Mental Health,Male,2004,1227
External Sources,Male,2004,5295
Other,Male,2004,1169
Diseases,Male,2005,0
Neoplasms,Male,2005,0
Mental Health,Male,2005,0
External Sources,Male,2005,0
Other,Male,2005,0
Diseases,Male,2006,37771
Neoplasms,Male,2006,22388
Mental Health,Male,2006,1840
External Sources,Male,2006,5413
Other,Male,2006,1144
Diseases,Male,2007,39121
Neoplasms,Male,2007,22798
Mental Health,Male,2007,2090
External Sources,Male,2007,5402
Other,Male,2007,1158
Diseases,Male,2008,40306
Neoplasms,Male,2008,23913
Mental Health,Male,2008,2355
External Sources,Male,2008,5892
Other,Male,2008,1082
Diseases,Male,2009,39172
Neoplasms,Male,2009,23693
Mental Health,Male,2009,2396
External Sources,Male,2009,6005
Other,Male,2009,1054
Diseases,Male,2010,39388
Neoplasms,Male,2010,24560
Mental Health,Male,2010,2506
External Sources,Male,2010,5928
Other,Male,2010,1102
Diseases,Male,2011,40774
Neoplasms,Male,2011,24750
Mental Health,Male,2011,2774
External Sources,Male,2011,5898
Other,Male,2011,1134
Diseases,Male,2012,40152
Neoplasms,Male,2012,24566
Mental Health,Male,2012,2915
External Sources,Male,2012,5938
Other,Male,2012,1223
Diseases,Male,2013,40437
Neoplasms,Male,2013,25239
Mental Health,Male,2013,2948
External Sources,Male,2013,5864
Other,Male,2013,1294
Diseases,Male,2014,42291
Neoplasms,Male,2014,24998
Mental Health,Male,2014,3271
External Sources,Male,2014,6442
Other,Male,2014,1339
Diseases,Male,2015,43550
Neoplasms,Male,2015,26143
Mental Health,Male,2015,3604
External Sources,Male,2015,6779
Other,Male,2015,1254
Diseases,Male,2016,43907
Neoplasms,Male,2016,26163
Mental Health,Male,2016,3798
External Sources,Male,2016,6811
Other,Male,2016,1188
Diseases,Male,2017,44692
Neoplasms,Male,2017,26184
Mental Health,Male,2017,3810
External Sources,Male,2017,6957
Other,Male,2017,1331
Diseases,Male,2018,68468
Neoplasms,Male,2018,224
Mental Health,Male,2018,4399
External Sources,Male,2018,1210
Other,Male,2018,8152
Diseases,Male,2019,46373
Neoplasms,Male,2019,28191
Mental Health,Male,2019,4187
External Sources,Male,2019,7712
Other,Male,2019,1648
Diseases,Male,2020,43407
Neoplasms,Male,2020,27522
Mental Health,Male,2020,3928
External Sources,Male,2020,7521
Other,Male,2020,1771
Diseases,Male,2021,46395
Neoplasms,Male,2021,28430
Mental Health,Male,2021,4246
External Sources,Male,2021,7540
Other,Male,2021,2124
Diseases,Male,2022,76399
Neoplasms,Male,2022,1446
Mental Health,Male,2022,4461
External Sources,Male,2022,2022
Other,Male,2022,2832
